txt_fn,pedestrian,bicycle,car,motorcycle,bus,train,truck
000000529303.txt,1,0,0,0,0,0,1
000000328662.txt,1,0,1,1,0,0,0
000000190015.txt,0,0,0,0,0,0,1
000000367222.txt,1,0,0,0,0,1,0
000000382287.txt,0,0,0,0,0,1,0
000000434693.txt,0,0,1,0,0,0,0
000000140943.txt,1,0,0,0,1,0,0
000000540833.txt,0,0,0,0,0,1,0
000000381301.txt,1,0,1,0,1,0,0
000000305919.txt,0,0,0,0,0,1,0
000000066144.txt,0,0,1,0,0,0,0
000000336464.txt,1,0,0,0,1,0,0
000000400104.txt,0,0,1,0,0,1,0
000000012728.txt,0,0,0,0,2,0,0
000000537889.txt,1,0,0,0,2,0,0
000000053108.txt,0,0,1,0,0,0,0
000000042659.txt,0,0,1,0,0,0,0
000000538640.txt,1,0,1,0,1,0,0
000000419682.txt,1,0,1,0,0,0,4
000000005018.txt,0,0,1,1,0,0,0
000000181061.txt,1,0,1,0,0,0,2
000000111010.txt,0,0,1,0,0,0,0
000000310607.txt,0,0,1,0,0,0,0
000000403294.txt,1,0,1,0,1,0,0
000000447471.txt,1,0,1,1,0,0,0
000000340252.txt,0,0,0,0,0,0,3
000000370657.txt,1,0,0,3,0,0,0
000000284771.txt,0,0,1,0,0,0,0
000000320160.txt,0,0,0,0,0,1,1
000000542510.txt,0,0,1,0,0,0,3
000000332204.txt,1,1,1,0,0,0,0
000000337711.txt,0,0,1,0,0,0,0
000000223366.txt,0,1,0,0,0,0,0
000000247543.txt,0,0,0,0,0,1,0
000000526680.txt,0,0,0,0,0,1,0
000000300267.txt,0,0,1,0,0,1,2
000000498438.txt,1,0,1,0,1,0,1
000000334675.txt,0,0,0,0,13,0,0
000000379376.txt,0,0,0,0,0,0,2
000000503068.txt,1,2,0,2,0,0,0
000000248308.txt,1,0,0,0,1,0,0
000000160313.txt,0,0,1,0,0,2,0
000000310108.txt,0,0,0,0,0,1,0
000000474067.txt,1,1,0,1,0,0,0
000000201123.txt,1,0,1,0,0,0,1
000000003988.txt,1,2,1,0,1,0,1
000000239915.txt,1,0,0,1,0,0,0
000000037104.txt,0,0,0,0,0,1,0
000000362340.txt,1,0,1,0,0,0,7
000000147585.txt,0,0,0,0,0,1,0
000000258472.txt,1,4,1,0,0,0,0
000000569242.txt,1,0,1,0,1,0,0
000000273067.txt,1,0,0,0,1,0,0
000000492435.txt,0,0,0,0,0,1,0
000000095902.txt,1,0,1,1,0,0,0
000000105728.txt,0,0,0,2,0,0,0
000000573807.txt,1,0,1,0,0,0,2
000000111768.txt,1,0,1,0,0,0,1
000000560222.txt,1,0,1,0,0,0,3
000000211116.txt,0,0,0,0,0,0,1
000000034616.txt,1,0,0,0,0,0,2
000000554688.txt,1,0,0,0,0,1,0
000000504516.txt,1,0,0,0,0,0,1
000000482295.txt,1,0,0,5,0,0,0
000000433081.txt,1,0,0,1,1,0,0
000000519906.txt,0,0,0,2,0,0,0
000000344762.txt,0,0,1,0,0,0,0
000000253959.txt,1,0,0,0,0,0,1
000000072430.txt,1,1,1,0,0,0,0
000000166009.txt,0,0,0,1,0,0,0
000000099081.txt,1,0,0,0,0,2,0
000000108049.txt,1,0,1,0,1,0,2
000000327572.txt,1,0,0,1,0,0,0
000000177418.txt,1,0,1,0,1,0,0
000000080303.txt,0,0,0,0,0,0,1
000000525813.txt,1,1,0,0,0,0,0
000000568432.txt,1,0,1,0,1,0,0
000000089033.txt,1,0,0,1,0,0,0
000000508041.txt,1,0,0,0,0,1,0
000000111096.txt,0,0,0,0,0,1,0
000000472012.txt,1,1,1,0,0,0,0
000000413822.txt,1,0,0,1,0,0,0
000000424132.txt,1,0,0,0,1,0,0
000000218307.txt,0,0,0,0,0,1,0
000000237326.txt,1,0,1,0,2,0,0
000000578137.txt,1,2,0,0,0,0,0
000000047407.txt,1,0,1,1,0,0,1
000000486506.txt,0,0,0,0,0,0,1
000000485602.txt,0,0,1,0,0,2,0
000000161231.txt,1,0,0,0,0,2,0
000000106335.txt,0,0,1,0,0,0,1
000000380337.txt,0,0,0,0,1,0,0
000000353276.txt,1,0,1,0,1,0,0
000000409327.txt,1,0,1,0,0,0,1
000000049014.txt,1,0,0,0,0,0,1
000000157726.txt,0,0,1,0,0,0,0
000000106641.txt,0,0,0,0,0,1,0
000000243016.txt,1,0,0,0,0,1,0
000000224522.txt,1,0,1,0,1,0,1
000000456845.txt,0,0,1,0,0,0,0
000000546408.txt,1,0,0,0,0,0,1
000000435124.txt,0,1,0,0,0,0,0
000000254997.txt,0,0,0,0,0,1,0
000000190521.txt,1,0,0,0,1,0,0
000000545749.txt,0,0,0,0,0,0,4
000000442818.txt,1,0,0,1,0,0,0
000000341448.txt,1,2,0,0,0,0,0
000000125377.txt,0,0,0,0,0,0,1
000000303617.txt,1,0,0,0,0,1,0
000000026209.txt,1,0,1,2,0,0,4
000000258878.txt,0,0,1,0,0,3,0
000000111124.txt,1,1,0,0,0,0,0
000000184531.txt,0,0,1,1,0,0,2
000000230240.txt,1,0,0,0,0,0,3
000000364743.txt,0,0,0,0,0,1,0
000000064800.txt,1,0,1,0,1,0,1
000000088720.txt,1,1,1,0,0,0,0
000000460646.txt,0,0,1,0,1,0,0
000000481357.txt,0,0,1,0,0,0,1
000000134137.txt,0,0,0,0,0,1,0
000000051880.txt,0,0,1,0,0,0,0
000000225479.txt,1,0,1,0,0,0,1
000000051334.txt,0,0,1,0,0,0,2
000000449638.txt,1,5,1,0,0,0,1
000000215600.txt,0,0,1,0,0,0,0
000000271791.txt,0,0,0,0,0,0,2
000000433941.txt,0,0,1,0,0,0,1
000000437611.txt,1,0,0,0,0,0,1
000000543058.txt,1,0,0,1,0,0,0
000000331686.txt,1,0,1,6,0,0,0
000000499871.txt,0,0,1,0,0,0,0
000000365645.txt,0,0,1,0,0,0,0
000000262819.txt,0,0,0,1,0,0,0
000000106484.txt,1,0,0,0,0,0,1
000000121644.txt,1,4,0,0,0,0,0
000000177899.txt,0,0,1,0,0,0,0
000000405620.txt,1,0,1,7,0,0,1
000000109896.txt,1,0,0,0,0,2,0
000000506862.txt,0,0,1,0,0,0,0
000000158053.txt,0,0,0,0,0,0,6
000000065566.txt,0,0,0,1,0,0,0
000000211185.txt,1,0,1,0,2,0,0
000000273314.txt,0,0,1,0,0,0,0
000000204572.txt,0,0,0,0,0,1,0
000000155417.txt,0,0,0,0,0,0,1
000000184123.txt,1,1,0,0,2,0,0
000000018252.txt,1,0,0,1,0,0,0
000000228657.txt,1,0,1,0,0,0,2
000000185721.txt,1,0,0,0,0,1,0
000000063855.txt,0,0,0,0,0,1,0
000000160004.txt,0,0,1,0,3,0,0
000000172006.txt,0,0,0,0,0,0,1
000000372706.txt,1,0,1,0,2,0,2
000000175570.txt,0,0,1,1,1,0,0
000000255425.txt,1,0,0,13,0,0,0
000000524174.txt,0,0,1,0,0,0,0
000000337875.txt,0,0,0,0,0,1,0
000000198001.txt,0,0,1,0,0,0,2
000000390539.txt,1,0,0,1,0,0,0
000000008024.txt,1,0,0,0,0,1,0
000000149555.txt,0,1,0,0,0,0,0
000000118787.txt,0,0,1,0,0,0,0
000000085601.txt,1,1,0,0,0,0,1
000000459731.txt,1,0,0,0,0,2,0
000000293289.txt,0,0,0,0,1,0,0
000000404165.txt,0,0,0,1,0,0,0
000000001366.txt,0,0,1,0,3,0,0
000000089329.txt,1,0,0,1,0,0,0
000000153666.txt,0,0,1,0,0,0,0
000000377778.txt,0,0,1,0,0,0,2
000000390328.txt,1,0,0,1,0,0,0
000000026172.txt,0,0,0,0,0,1,0
000000319161.txt,1,0,0,0,0,1,0
000000301937.txt,1,5,0,0,1,0,0
000000256869.txt,0,0,0,0,0,1,0
000000111970.txt,0,3,0,0,0,0,0
000000557804.txt,1,0,1,0,1,0,0
000000153495.txt,1,0,0,9,0,0,0
000000504099.txt,0,0,0,0,0,0,1
000000458448.txt,1,0,1,0,0,0,3
000000006998.txt,0,2,0,0,0,0,0
000000372673.txt,0,0,0,0,0,0,1
000000281028.txt,1,0,0,0,0,1,0
000000279726.txt,1,0,0,0,0,1,0
000000496362.txt,1,0,1,0,1,0,1
000000330696.txt,1,0,1,1,0,0,0
000000088185.txt,0,0,1,0,0,0,1
000000196777.txt,1,0,0,10,0,0,0
000000330395.txt,1,0,0,0,0,0,1
000000127751.txt,0,0,1,0,1,0,0
000000479361.txt,1,0,0,0,1,0,0
000000122460.txt,0,0,1,0,0,1,2
000000251330.txt,0,0,0,0,0,1,0
000000275741.txt,1,0,1,0,0,0,1
000000115804.txt,1,1,0,0,0,0,0
000000450940.txt,1,1,0,0,0,0,0
000000138288.txt,1,0,0,0,0,0,1
000000556771.txt,0,0,0,0,1,0,0
000000326639.txt,0,0,1,0,0,1,1
000000120969.txt,1,2,0,0,0,0,0
000000497863.txt,0,0,0,0,0,1,0
000000451077.txt,1,0,0,0,0,2,0
000000197368.txt,1,1,0,0,0,0,0
000000180794.txt,0,0,1,1,0,0,0
000000480075.txt,0,0,0,0,1,0,0
000000253755.txt,0,0,0,0,0,1,0
000000229564.txt,0,0,1,0,0,0,2
000000121143.txt,0,0,1,0,0,0,0
000000437120.txt,0,0,0,0,1,0,0
000000249869.txt,1,0,0,5,0,0,0
000000224414.txt,0,3,1,0,0,0,0
000000102930.txt,1,0,1,0,0,0,1
000000524611.txt,0,0,0,0,0,1,0
000000492711.txt,1,0,0,0,0,0,1
000000426201.txt,1,0,0,2,0,0,0
000000057828.txt,1,0,1,0,0,0,2
000000219589.txt,0,6,0,0,0,0,0
000000037012.txt,1,0,0,0,0,0,2
000000112820.txt,0,0,0,0,0,2,0
000000058137.txt,1,0,0,0,0,3,0
000000295505.txt,0,0,0,1,0,0,0
000000528595.txt,1,0,0,0,0,1,0
000000450728.txt,0,0,1,0,1,0,1
000000410912.txt,0,0,0,0,0,1,0
000000006996.txt,1,1,0,0,0,0,0
000000494574.txt,1,0,1,0,0,0,1
000000542452.txt,0,6,0,0,0,0,0
000000340758.txt,1,0,1,1,1,0,1
000000127967.txt,1,0,0,0,0,0,1
000000017810.txt,0,0,0,0,0,1,0
000000573854.txt,1,0,1,0,0,0,2
000000445268.txt,1,0,1,0,0,0,1
000000040359.txt,0,0,1,0,0,0,0
000000346581.txt,0,0,1,0,0,0,0
000000400436.txt,1,0,1,0,1,0,0
000000373338.txt,1,0,1,0,0,0,2
000000037743.txt,0,0,0,0,0,0,1
000000199158.txt,0,1,0,0,0,0,0
000000340386.txt,1,0,0,0,1,0,0
000000421684.txt,1,0,0,10,0,0,0
000000114844.txt,1,0,0,0,1,0,0
000000300209.txt,1,0,0,0,1,0,0
000000231035.txt,1,2,0,0,0,0,0
000000329900.txt,1,0,1,0,1,0,0
000000099063.txt,0,1,1,0,0,0,1
000000097321.txt,1,1,0,0,0,0,0
000000090712.txt,1,0,0,1,0,0,0
000000482371.txt,0,0,1,0,1,0,1
000000546691.txt,0,0,1,0,0,0,0
000000578103.txt,1,0,1,0,1,0,0
000000231945.txt,1,0,0,0,0,0,1
000000249720.txt,1,1,1,0,0,0,0
000000401921.txt,1,0,1,0,1,0,0
000000225848.txt,1,4,1,1,1,0,0
000000322560.txt,0,0,0,0,0,0,1
000000152543.txt,1,1,0,0,0,0,0
000000374897.txt,0,0,0,0,0,0,1
000000272940.txt,0,0,0,1,0,0,0
000000446199.txt,0,0,0,0,0,2,0
000000478967.txt,0,0,1,0,0,0,0
000000579735.txt,1,0,1,0,0,0,1
000000215287.txt,1,0,1,0,1,0,0
000000256967.txt,1,0,1,0,0,0,4
000000301926.txt,1,3,1,0,0,0,1
000000315209.txt,0,0,1,0,0,0,0
000000498510.txt,0,0,0,0,0,1,0
000000014089.txt,1,3,0,0,0,0,0
000000542582.txt,1,0,1,0,1,0,0
000000090626.txt,0,0,0,0,1,0,0
000000326168.txt,1,5,1,0,1,0,0
000000083125.txt,0,0,1,0,0,0,1
000000316777.txt,1,0,1,0,1,0,0
000000116048.txt,1,1,1,0,0,0,0
000000061219.txt,1,1,0,0,0,0,0
000000356496.txt,0,2,0,1,0,0,0
000000037857.txt,1,0,0,0,0,0,1
000000292767.txt,0,1,0,0,0,0,0
000000451574.txt,1,0,1,0,0,0,3
000000034680.txt,1,0,1,0,0,0,2
000000201555.txt,0,0,1,0,0,0,2
000000442600.txt,0,0,1,0,0,0,1
000000052983.txt,1,0,0,1,0,1,0
000000039514.txt,1,0,0,0,0,0,2
000000072156.txt,1,2,0,0,0,0,1
000000463057.txt,1,0,0,1,0,0,0
000000093732.txt,1,0,1,0,2,0,1
000000268617.txt,1,3,0,0,0,0,0
000000460143.txt,1,0,0,1,1,0,0
000000365709.txt,0,0,1,0,0,0,0
000000299443.txt,1,0,0,2,0,0,0
000000349777.txt,0,0,1,0,0,0,0
000000313786.txt,0,0,1,0,0,1,1
000000018439.txt,0,0,0,0,1,0,1
000000529193.txt,0,0,0,0,0,1,0
000000137382.txt,1,0,0,0,1,0,0
000000561214.txt,0,0,1,0,1,0,0
000000539242.txt,1,0,1,0,0,0,1
000000569827.txt,1,0,0,0,0,0,1
000000151619.txt,0,0,1,0,12,0,0
000000339790.txt,0,0,1,0,0,0,2
000000437304.txt,0,1,0,0,0,0,0
000000461799.txt,0,0,1,0,0,0,0
000000238178.txt,1,0,0,5,0,0,0
000000370722.txt,0,0,1,2,0,0,0
000000265351.txt,1,0,1,0,1,0,0
000000165350.txt,1,8,1,0,0,0,0
000000301373.txt,1,0,1,0,0,0,5
000000503834.txt,1,0,1,0,1,0,1
000000168903.txt,1,0,1,0,0,0,2
000000065139.txt,0,0,1,0,0,0,0
000000039040.txt,1,0,1,0,0,0,1
000000237060.txt,1,0,0,0,0,0,1
000000140460.txt,0,0,0,0,4,0,0
000000393178.txt,0,0,0,0,0,1,0
000000008180.txt,0,0,0,0,0,0,5
000000221891.txt,0,0,1,0,0,0,0
000000310042.txt,1,1,1,0,0,0,0
000000501700.txt,1,6,0,0,0,0,0
000000043191.txt,1,0,0,0,0,2,0
000000456042.txt,1,0,0,0,3,0,0
000000209901.txt,0,0,0,0,0,0,1
000000068520.txt,0,0,0,0,3,0,0
000000404285.txt,1,0,1,0,0,0,2
000000090237.txt,1,0,1,0,0,0,2
000000015663.txt,1,6,1,0,1,0,0
000000266099.txt,0,0,0,0,0,0,4
000000002089.txt,1,0,1,0,1,0,1
000000510169.txt,0,0,0,0,1,0,0
000000340544.txt,0,0,0,0,0,1,0
000000087509.txt,1,0,0,1,0,0,0
000000235276.txt,0,0,1,0,0,0,0
000000533810.txt,1,0,0,0,0,0,2
000000083364.txt,1,0,1,0,0,0,1
000000199959.txt,1,0,0,0,0,1,0
000000470525.txt,0,0,1,0,0,0,0
000000421193.txt,1,0,0,0,0,1,1
000000514060.txt,0,1,0,0,0,0,0
000000188693.txt,1,0,0,0,0,1,0
000000221004.txt,1,4,0,0,0,0,0
000000469315.txt,1,0,0,0,0,3,0
000000131299.txt,1,0,1,0,0,0,2
000000171272.txt,1,0,0,1,0,0,0
000000556205.txt,1,2,0,0,0,0,0
000000238070.txt,0,0,0,0,4,0,0
000000508191.txt,0,0,1,1,0,0,0
000000077055.txt,1,0,1,0,3,0,1
000000573260.txt,1,0,1,3,0,0,0
000000263505.txt,1,0,0,1,0,0,0
000000151095.txt,1,0,1,0,1,0,0
000000369576.txt,1,0,0,0,0,0,1
000000188405.txt,1,0,1,0,0,0,1
000000401850.txt,1,0,1,0,1,0,1
000000096557.txt,0,0,1,1,0,0,0
000000263011.txt,1,0,0,0,6,0,0
000000501867.txt,1,3,0,3,2,0,1
000000365527.txt,1,2,0,1,0,0,0
000000348719.txt,1,0,0,0,1,0,0
000000221916.txt,0,0,0,0,0,5,0
000000482314.txt,1,0,1,0,0,0,1
000000054966.txt,0,0,0,9,0,0,0
000000020929.txt,0,0,1,0,0,0,0
000000492974.txt,1,0,1,0,1,1,0
000000465537.txt,0,2,1,0,0,0,0
000000415190.txt,0,0,0,0,0,0,5
000000368440.txt,0,0,0,0,0,0,1
000000111492.txt,0,0,0,1,0,0,2
000000330894.txt,1,0,0,13,0,0,0
000000558794.txt,1,0,0,0,0,1,0
000000351252.txt,0,0,0,1,0,0,0
000000222929.txt,0,0,1,0,0,0,0
000000382401.txt,0,1,0,0,0,0,0
000000090201.txt,1,0,0,1,0,0,0
000000063791.txt,1,1,1,0,0,0,0
000000326517.txt,0,0,0,0,0,0,3
000000492485.txt,0,0,1,0,0,0,0
000000087156.txt,0,0,0,0,0,1,0
000000209176.txt,0,0,1,0,0,0,2
000000576543.txt,0,0,0,0,0,2,0
