,txt_fn,pedestrian,bicycle,car,motorcycle,bus,train,truck
0,000000183321.txt,13,0,0,0,0,0,0
1,000000191625.txt,4,0,0,0,0,0,0
2,000000520866.txt,2,0,0,0,0,0,0
3,000000334867.txt,5,0,0,2,0,0,0
4,000000200370.txt,5,0,5,2,0,0,0
5,000000021971.txt,7,0,0,0,0,0,0
6,000000136870.txt,12,0,0,0,0,0,0
7,000000573953.txt,8,0,0,0,0,0,0
8,000000501652.txt,1,0,1,0,0,0,0
9,000000101931.txt,1,0,0,0,0,1,0
10,000000125541.txt,3,0,0,0,0,0,0
11,000000094319.txt,1,0,0,1,0,0,0
12,000000172087.txt,1,0,0,0,0,0,0
13,000000130314.txt,2,0,0,0,0,0,0
14,000000385405.txt,3,0,0,0,0,0,0
15,000000215608.txt,13,0,0,0,0,0,0
16,000000270583.txt,0,0,1,0,0,0,0
17,000000035642.txt,4,0,0,0,0,0,0
18,000000565217.txt,1,0,0,0,0,0,0
19,000000100539.txt,2,7,0,0,0,0,1
20,000000497694.txt,1,0,0,0,0,0,0
21,000000279602.txt,12,0,0,0,0,0,0
22,000000076738.txt,1,0,0,0,0,0,0
23,000000406676.txt,1,0,0,0,0,0,0
24,000000402583.txt,10,0,0,0,0,0,0
25,000000163171.txt,1,0,0,0,0,0,0
26,000000228611.txt,7,0,3,0,0,0,0
27,000000071385.txt,13,0,2,0,0,0,0
28,000000128286.txt,7,0,0,0,0,0,0
29,000000435179.txt,5,0,0,0,0,0,0
30,000000225281.txt,13,0,0,0,0,0,0
31,000000208978.txt,1,0,0,0,0,0,0
32,000000561124.txt,4,0,0,0,0,1,0
33,000000044952.txt,3,0,0,0,0,0,0
34,000000225607.txt,2,0,0,0,0,0,0
35,000000195023.txt,1,0,0,0,0,0,0
36,000000280442.txt,2,0,0,0,0,0,0
37,000000125316.txt,2,0,0,0,0,0,0
38,000000206203.txt,0,0,1,0,0,0,3
39,000000418505.txt,0,0,2,0,0,0,1
40,000000402041.txt,12,0,0,0,0,0,0
41,000000066345.txt,2,0,0,0,0,0,0
42,000000515387.txt,13,0,0,0,0,0,0
43,000000355697.txt,3,0,0,0,0,0,0
44,000000417074.txt,13,0,0,0,0,0,0
45,000000425074.txt,1,0,0,0,0,0,0
46,000000354545.txt,0,1,0,1,0,0,0
47,000000187738.txt,1,0,0,0,0,0,0
48,000000404917.txt,1,0,0,0,0,0,0
49,000000253513.txt,1,0,4,0,0,0,0
50,000000163933.txt,0,0,0,0,0,1,1
51,000000344844.txt,0,0,0,0,0,0,1
52,000000291477.txt,6,0,0,0,0,0,0
53,000000207481.txt,2,0,0,0,0,0,0
54,000000230265.txt,12,0,0,0,0,0,0
55,000000271166.txt,5,0,0,0,0,0,0
56,000000254589.txt,2,0,0,0,0,0,0
57,000000338978.txt,0,0,12,0,0,0,2
58,000000575305.txt,12,0,0,0,0,0,0
59,000000330177.txt,2,0,0,0,0,0,0
60,000000278134.txt,3,0,0,0,0,0,0
61,000000257860.txt,2,0,0,0,0,0,0
62,000000413248.txt,3,1,0,1,0,0,0
63,000000022816.txt,6,0,0,0,0,0,0
64,000000463304.txt,1,0,0,0,0,0,0
65,000000326124.txt,1,0,0,0,0,0,0
66,000000246985.txt,3,0,0,0,0,0,0
67,000000395326.txt,1,0,0,0,0,0,0
68,000000399832.txt,1,0,0,0,0,0,0
69,000000109580.txt,6,0,0,0,0,0,0
70,000000197897.txt,1,0,0,0,0,0,0
71,000000334362.txt,13,0,0,0,0,0,0
72,000000399585.txt,2,0,0,0,0,0,0
73,000000031666.txt,2,0,0,0,0,1,0
74,000000507882.txt,13,0,3,0,0,0,0
75,000000464447.txt,1,0,0,0,0,0,0
76,000000435573.txt,2,0,0,0,0,0,0
77,000000194744.txt,4,0,0,0,0,0,0
78,000000018059.txt,13,0,3,0,0,0,0
79,000000342929.txt,1,0,0,0,0,0,0
80,000000475586.txt,1,0,0,0,0,0,0
81,000000374430.txt,3,0,0,0,0,0,0
82,000000438126.txt,1,0,0,0,0,0,0
83,000000544690.txt,3,0,1,0,0,0,0
84,000000189182.txt,1,0,0,0,0,0,0
85,000000098867.txt,13,0,0,0,0,0,0
86,000000576010.txt,1,0,0,0,0,0,1
87,000000475658.txt,2,0,0,0,0,0,0
88,000000140180.txt,5,0,1,8,0,0,0
89,000000365452.txt,1,0,0,0,0,0,0
90,000000405181.txt,12,0,3,0,0,0,1
91,000000488069.txt,1,0,0,0,0,0,0
92,000000430519.txt,0,1,0,0,1,0,0
93,000000345288.txt,1,0,0,0,0,0,0
94,000000474038.txt,0,0,4,0,0,0,0
95,000000154710.txt,1,0,0,0,0,0,0
96,000000379230.txt,1,0,0,0,0,0,0
97,000000365316.txt,0,0,0,0,0,0,1
98,000000025517.txt,1,0,0,0,0,0,0
