               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12706,            0.031658,                   0,           0.0068675,             0.31183,            0.005854,           0.0011934,             0.12157,            0.020851,                   0,              0.0964,              0.0004,              0.0004
                   1,              0.1192,            0.029881,                   0,            0.011068,             0.22581,           0.0060105,           0.0010653,              0.1061,            0.017573,                   0,            0.091897,          0.00089703,          0.00089703
                   2,             0.10317,            0.028167,                   0,           0.0028333,             0.73118,           0.0095044,           0.0019453,            0.087085,             0.01505,                   0,            0.087391,           0.0013908,           0.0013908
                   3,             0.09025,            0.027007,                   0,            0.010982,             0.54839,            0.014739,           0.0035578,            0.080818,            0.013228,                   0,            0.082881,           0.0018812,           0.0018812
                   4,            0.084176,            0.026913,                   0,            0.096637,            0.075269,            0.049568,             0.01153,            0.075213,            0.011888,                   0,            0.078368,           0.0023683,           0.0023683
                   5,            0.076126,            0.024203,                   0,             0.13498,             0.08896,            0.072705,            0.022231,            0.071156,            0.010378,                   0,            0.073852,           0.0028522,           0.0028522
                   6,            0.070217,            0.023359,                   0,             0.16602,             0.22581,             0.13607,            0.052419,            0.063845,            0.010041,                   0,            0.069333,           0.0033327,           0.0033327
                   7,            0.070114,            0.024114,                   0,             0.21319,             0.33333,             0.21581,            0.068838,            0.060101,            0.011206,                   0,             0.06481,           0.0038099,           0.0038099
                   8,            0.066196,            0.022466,                   0,             0.36417,             0.30108,             0.30242,            0.094537,            0.059461,             0.01091,                   0,            0.060284,           0.0042838,           0.0042838
                   9,            0.063695,            0.021784,                   0,             0.32057,             0.50538,             0.30338,            0.088109,            0.058514,           0.0096774,                   0,            0.055754,           0.0047545,           0.0047545
                  10,            0.064956,            0.020223,                   0,             0.31214,             0.44086,              0.3425,             0.11961,            0.056762,           0.0096786,                   0,            0.051222,           0.0052218,           0.0052218
                  11,            0.058462,             0.01936,                   0,             0.30831,             0.51613,               0.362,             0.14491,            0.057514,            0.010704,                   0,            0.046686,           0.0056858,           0.0056858
                  12,            0.057099,            0.019684,                   0,             0.40445,             0.53309,             0.40386,             0.14407,            0.057128,           0.0089152,                   0,            0.042147,           0.0061466,           0.0061466
                  13,            0.056443,             0.01832,                   0,             0.54543,             0.53763,             0.53095,             0.19061,            0.052846,            0.007992,                   0,            0.037604,            0.006604,            0.006604
                  14,            0.056349,             0.01728,                   0,             0.58483,             0.60215,             0.56023,             0.17809,            0.054859,           0.0082498,                   0,            0.033058,           0.0070581,           0.0070581
                  15,            0.053548,            0.018512,                   0,             0.54871,             0.56989,             0.53373,             0.17031,            0.048498,           0.0077004,                   0,            0.028509,           0.0075089,           0.0075089
                  16,            0.049763,            0.017725,                   0,             0.37472,             0.35443,             0.32048,             0.10398,             0.06848,           0.0077744,                   0,            0.023956,           0.0079565,           0.0079565
                  17,            0.050779,            0.017561,                   0,             0.53177,              0.3871,             0.40095,             0.14595,            0.050788,           0.0084383,                   0,            0.019401,           0.0084007,           0.0084007
                  18,            0.049435,            0.016313,                   0,             0.50691,             0.44086,             0.46866,             0.16556,            0.056202,           0.0084155,                   0,            0.014842,           0.0088416,           0.0088416
                  19,             0.05106,            0.017071,                   0,             0.56946,             0.44086,             0.49916,             0.19089,            0.051958,           0.0086758,                   0,            0.010279,           0.0092793,           0.0092793
                  20,             0.05058,            0.016248,                   0,             0.53106,             0.53763,             0.45601,              0.1932,            0.055011,           0.0080242,                   0,             0.00934,             0.00934,             0.00934
                  21,            0.046949,            0.016716,                   0,             0.62693,             0.70968,             0.61927,             0.24661,             0.05087,            0.010159,                   0,             0.00934,             0.00934,             0.00934
                  22,              0.0486,            0.016058,                   0,             0.50682,             0.65591,              0.5205,             0.19244,             0.04846,           0.0084717,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.047052,             0.01549,                   0,             0.47471,             0.68817,             0.49524,              0.2022,            0.050744,           0.0075729,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.045745,            0.017367,                   0,             0.35691,             0.37634,             0.28496,             0.12586,            0.048257,           0.0093279,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.044854,            0.016711,                   0,             0.35613,             0.54839,             0.41827,             0.20158,            0.048317,           0.0079792,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.045899,            0.015578,                   0,             0.47943,              0.6437,             0.50608,             0.20371,            0.047432,           0.0074992,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.04303,            0.016338,                   0,              0.5383,             0.65192,             0.53564,             0.22928,            0.045526,           0.0084507,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.04176,            0.015771,                   0,             0.39691,             0.43011,             0.34046,             0.15163,            0.049807,           0.0085816,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.042859,            0.014739,                   0,             0.48669,             0.62192,             0.41529,             0.15557,            0.045977,           0.0081363,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.039293,            0.013914,                   0,             0.48786,             0.68817,             0.54185,             0.22992,            0.045464,           0.0077281,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.042478,            0.016959,                   0,             0.47701,             0.64516,             0.49304,             0.20124,            0.048505,            0.007473,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.039905,            0.015061,                   0,              0.4749,             0.27957,             0.30306,             0.10306,            0.068049,           0.0088706,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.040116,            0.015399,                   0,             0.36304,             0.30108,             0.24921,            0.087723,            0.056976,           0.0093892,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.04004,            0.014934,                   0,             0.44957,             0.63233,             0.45152,              0.1729,              0.0491,           0.0084043,                   0,            0.008911,            0.008911,            0.008911
