               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037044,            0.047247,            0.015482,             0.39678,               0.412,             0.43034,             0.29529,            0.030981,            0.027084,            0.013868,              0.0937,              0.0007,              0.0007
                   1,            0.036225,            0.039792,            0.013389,             0.40824,              0.4214,             0.47242,             0.31807,            0.029969,            0.018232,            0.010686,            0.086495,            0.001495,            0.001495
                   2,            0.036795,            0.026341,            0.012949,             0.48786,             0.41725,             0.51878,              0.3441,            0.031048,            0.014953,           0.0072463,            0.079285,           0.0022848,           0.0022848
                   3,            0.035975,            0.023438,            0.008076,             0.51051,             0.56465,             0.54662,             0.35235,            0.032305,            0.013051,           0.0050802,            0.072069,           0.0030693,           0.0030693
                   4,            0.036455,            0.020671,           0.0090843,             0.65658,             0.56897,             0.53836,              0.3395,            0.031677,            0.011679,           0.0043526,            0.064849,           0.0038485,           0.0038485
                   5,            0.035774,            0.021128,           0.0073308,              0.6668,             0.53856,             0.56906,              0.3486,            0.036096,            0.011317,           0.0034711,            0.057622,           0.0046225,           0.0046225
                   6,            0.038256,            0.019002,           0.0060461,             0.59739,             0.66485,             0.65349,             0.44286,            0.032483,            0.010772,           0.0029461,            0.050391,           0.0053911,           0.0053911
                   7,            0.039793,            0.017993,           0.0053795,             0.57449,             0.66674,             0.66953,              0.4031,            0.035311,            0.010259,           0.0023659,            0.043154,           0.0061545,           0.0061545
                   8,            0.038952,            0.018807,           0.0052368,             0.73866,             0.72875,             0.74939,             0.49456,            0.034662,           0.0096478,           0.0023641,            0.035913,           0.0069126,           0.0069126
                   9,            0.035862,            0.017446,           0.0043325,             0.80808,             0.73782,             0.80927,             0.56402,            0.032578,           0.0093646,           0.0022979,            0.028665,           0.0076654,           0.0076654
                  10,            0.038188,            0.014658,           0.0049358,             0.77477,             0.69138,             0.78353,             0.50489,            0.037146,           0.0092981,           0.0019333,            0.021413,           0.0084129,           0.0084129
                  11,            0.039627,            0.014864,           0.0053582,              0.8136,             0.75657,             0.82938,             0.52708,            0.036172,           0.0091636,           0.0019377,            0.014155,           0.0091552,           0.0091552
                  12,            0.038805,            0.016093,           0.0050224,             0.82163,              0.7588,             0.81761,              0.5007,            0.035997,           0.0089684,           0.0023364,            0.009604,            0.009604,            0.009604
                  13,            0.038166,            0.014217,           0.0051539,             0.86754,             0.83895,             0.88236,             0.56087,            0.043847,           0.0088804,           0.0020192,            0.009604,            0.009604,            0.009604
                  14,            0.042034,             0.01617,           0.0048858,             0.85753,             0.84429,             0.86191,             0.53463,            0.035854,           0.0088034,           0.0022364,            0.009571,            0.009571,            0.009571
                  15,            0.040687,            0.015326,           0.0041465,             0.81052,             0.73539,             0.82835,               0.537,            0.036587,           0.0087268,           0.0020621,            0.009538,            0.009538,            0.009538
                  16,            0.040079,            0.016219,           0.0046573,               0.732,             0.82671,             0.85118,             0.56979,            0.040532,           0.0088204,           0.0019271,            0.009505,            0.009505,            0.009505
                  17,            0.041961,            0.017061,           0.0049938,             0.79697,             0.83319,             0.88465,              0.5426,            0.035335,           0.0085958,           0.0020334,            0.009472,            0.009472,            0.009472
                  18,            0.040177,            0.014546,           0.0041366,             0.97258,             0.71954,              0.8804,              0.5297,            0.034432,           0.0086317,           0.0022134,            0.009439,            0.009439,            0.009439
                  19,            0.039414,            0.013777,           0.0052806,             0.78065,             0.84904,             0.89542,             0.59998,            0.032992,           0.0082783,           0.0019596,            0.009406,            0.009406,            0.009406
                  20,            0.037199,            0.017463,           0.0046789,             0.74587,             0.85257,             0.82807,             0.49392,            0.037846,           0.0082099,           0.0018687,            0.009373,            0.009373,            0.009373
                  21,            0.039342,            0.015313,           0.0043963,             0.80121,             0.88245,             0.91145,             0.58928,            0.036354,           0.0081111,           0.0018924,             0.00934,             0.00934,             0.00934
                  22,            0.039838,            0.013611,           0.0040628,             0.68881,             0.84904,             0.81628,             0.52848,            0.034299,           0.0080953,           0.0018507,            0.009307,            0.009307,            0.009307
                  23,            0.038818,            0.015468,           0.0039288,             0.75813,             0.82807,               0.847,               0.573,            0.033628,           0.0079254,           0.0018518,            0.009274,            0.009274,            0.009274
                  24,            0.036597,             0.01455,           0.0037284,             0.84009,             0.88307,              0.8927,             0.57894,            0.034346,           0.0077578,           0.0018835,            0.009241,            0.009241,            0.009241
                  25,            0.036983,            0.015372,           0.0036526,             0.83725,             0.79378,             0.84786,             0.56064,            0.034253,           0.0076413,           0.0020182,            0.009208,            0.009208,            0.009208
                  26,            0.037534,            0.013859,            0.003917,             0.83078,             0.86264,             0.90252,             0.62873,            0.032637,           0.0075866,           0.0019134,            0.009175,            0.009175,            0.009175
                  27,             0.03763,            0.014245,           0.0035493,             0.90456,             0.85581,             0.90912,             0.58136,            0.035478,           0.0079912,           0.0019098,            0.009142,            0.009142,            0.009142
                  28,            0.039201,            0.014316,           0.0037855,             0.87673,             0.82346,              0.8864,             0.59928,            0.035377,           0.0079956,           0.0018008,            0.009109,            0.009109,            0.009109
                  29,            0.035854,            0.014889,           0.0036313,             0.67497,             0.85536,             0.84536,             0.55174,             0.03371,           0.0077753,           0.0016881,            0.009076,            0.009076,            0.009076
                  30,            0.036702,            0.011796,           0.0033993,             0.70238,             0.91591,             0.85677,             0.56172,            0.034154,           0.0079179,           0.0016436,            0.009043,            0.009043,            0.009043
                  31,            0.038091,            0.015651,           0.0035069,             0.86973,             0.86791,             0.92101,             0.63494,            0.036025,           0.0078291,           0.0017141,             0.00901,             0.00901,             0.00901
                  32,            0.037354,            0.012815,            0.003548,             0.88306,             0.88421,             0.93185,              0.6457,            0.031314,           0.0075974,           0.0019346,            0.008977,            0.008977,            0.008977
                  33,            0.036642,            0.014886,           0.0036283,                0.95,             0.86945,             0.94724,             0.64102,            0.032648,            0.007746,            0.002011,            0.008944,            0.008944,            0.008944
                  34,            0.035126,            0.014222,           0.0037497,             0.92968,             0.89075,             0.93902,             0.64298,            0.031761,           0.0077577,           0.0018192,            0.008911,            0.008911,            0.008911
                  35,            0.035667,            0.013291,           0.0033969,             0.90105,             0.86267,              0.9199,              0.5991,            0.031745,           0.0076984,           0.0019029,            0.008878,            0.008878,            0.008878
                  36,            0.033188,               0.014,           0.0032812,             0.84448,             0.86145,             0.89593,             0.59875,            0.032345,           0.0074904,           0.0019254,            0.008845,            0.008845,            0.008845
                  37,            0.035501,            0.013547,           0.0041149,             0.90372,             0.82204,             0.87799,             0.63092,             0.03064,           0.0071647,           0.0018482,            0.008812,            0.008812,            0.008812
                  38,            0.036354,            0.012192,            0.003614,             0.90151,              0.8092,             0.87855,             0.62402,            0.030099,           0.0072411,           0.0017695,            0.008779,            0.008779,            0.008779
                  39,             0.03572,            0.015038,           0.0035948,             0.84965,              0.9174,             0.92351,             0.61197,             0.03017,           0.0072691,           0.0017512,            0.008746,            0.008746,            0.008746
                  40,            0.034853,            0.012656,             0.00336,             0.87982,             0.90673,             0.92845,             0.61024,            0.029297,           0.0073563,           0.0016205,            0.008713,            0.008713,            0.008713
                  41,            0.034555,            0.013422,           0.0041753,             0.85686,              0.8995,             0.91871,             0.62348,            0.027786,           0.0071586,           0.0014802,             0.00868,             0.00868,             0.00868
                  42,            0.033975,             0.01198,           0.0030861,             0.90602,             0.88177,             0.95049,             0.59174,            0.029202,            0.007393,           0.0014926,            0.008647,            0.008647,            0.008647
                  43,             0.03316,            0.013871,            0.003208,             0.88644,             0.88778,             0.93001,             0.63686,            0.028624,            0.007102,           0.0015697,            0.008614,            0.008614,            0.008614
                  44,            0.034073,            0.013251,           0.0038753,             0.91106,             0.91271,             0.95554,             0.63851,            0.028104,           0.0069199,           0.0016451,            0.008581,            0.008581,            0.008581
                  45,            0.032669,            0.012754,            0.003054,             0.89701,              0.8999,             0.95344,             0.64937,            0.028014,           0.0068638,           0.0017455,            0.008548,            0.008548,            0.008548
                  46,            0.032097,            0.013057,           0.0037946,             0.95555,             0.89824,             0.95749,             0.69435,            0.027193,           0.0068259,           0.0018058,            0.008515,            0.008515,            0.008515
                  47,            0.032114,            0.014328,           0.0036938,              0.9566,             0.90177,             0.95535,             0.66266,            0.028409,            0.006832,           0.0017183,            0.008482,            0.008482,            0.008482
                  48,            0.031574,            0.012297,           0.0039278,                0.93,             0.89025,             0.94621,             0.61667,            0.030553,           0.0071065,            0.001549,            0.008449,            0.008449,            0.008449
                  49,            0.034007,            0.015018,           0.0031195,             0.88945,             0.89699,             0.90702,             0.65077,             0.02959,           0.0071492,           0.0014368,            0.008416,            0.008416,            0.008416
                  50,            0.033085,            0.011626,           0.0031061,             0.92001,             0.93075,             0.95867,             0.65776,            0.028226,           0.0071775,           0.0014142,            0.008383,            0.008383,            0.008383
                  51,            0.032843,             0.01238,           0.0034422,             0.95945,              0.8939,             0.96556,             0.64241,            0.027644,           0.0071269,           0.0013406,             0.00835,             0.00835,             0.00835
