               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12716,            0.046629,                   0,                   0,                   0,                   0,                   0,             0.12592,            0.039421,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.12149,            0.043795,                   0,                   0,                   0,                   0,                   0,             0.11506,             0.04073,                   0,            0.090096,           0.0010964,           0.0010964
                   2,             0.11291,            0.048617,                   0,           0.0014394,            0.075697,          0.00078385,          0.00023665,             0.10707,            0.042372,                   0,            0.084689,           0.0016888,           0.0016888
                   3,             0.10889,            0.047613,                   0,           0.0041667,             0.21912,           0.0047274,           0.0012797,             0.10421,            0.042175,                   0,            0.079277,           0.0022772,           0.0022772
                   4,             0.10532,              0.0455,                   0,           0.0062879,             0.33068,            0.022553,           0.0055648,             0.10684,            0.041279,                   0,            0.073862,           0.0028617,           0.0028617
                   5,             0.10216,            0.045077,                   0,             0.24435,             0.14741,             0.10479,            0.023033,            0.097593,            0.040041,                   0,            0.068442,           0.0034422,           0.0034422
                   6,             0.09746,            0.043707,                   0,             0.28005,             0.22311,             0.17283,            0.051191,            0.095448,            0.034964,                   0,            0.063019,           0.0040188,           0.0040188
                   7,              0.0937,            0.038907,                   0,             0.30089,             0.22311,              0.1608,            0.048143,            0.093548,            0.034267,                   0,            0.057591,           0.0045914,           0.0045914
                   8,            0.090609,            0.036233,                   0,             0.20639,             0.30677,              0.1492,            0.039178,            0.094204,              0.0392,                   0,             0.05216,           0.0051601,           0.0051601
                   9,            0.087067,             0.03416,                   0,             0.28972,             0.33466,             0.18767,            0.060543,            0.092657,            0.036501,                   0,            0.046725,           0.0057248,           0.0057248
                  10,            0.084158,            0.036376,                   0,             0.32157,             0.43426,             0.26113,            0.091588,            0.082034,            0.038195,                   0,            0.041285,           0.0062855,           0.0062855
                  11,            0.083434,            0.033769,                   0,             0.29232,             0.25896,             0.21517,            0.044741,            0.076138,              0.0338,                   0,            0.035842,           0.0068423,           0.0068423
                  12,            0.083957,            0.031291,                   0,             0.35152,             0.47944,              0.3546,             0.10719,            0.077587,            0.030425,                   0,            0.030395,           0.0073951,           0.0073951
                  13,            0.079385,            0.032527,                   0,             0.45531,             0.49801,             0.36145,             0.15072,            0.075831,            0.031097,                   0,            0.024944,           0.0079439,           0.0079439
                  14,            0.078983,            0.031925,                   0,             0.15704,              0.1753,            0.082088,            0.018086,            0.093019,            0.030464,                   0,            0.019489,           0.0084888,           0.0084888
                  15,            0.085682,            0.025325,                   0,             0.44651,             0.43711,             0.39574,             0.14469,            0.079397,            0.026288,                   0,             0.01403,           0.0090297,           0.0090297
                  16,            0.080537,             0.02671,                   0,             0.32661,             0.43825,             0.25639,            0.095912,            0.091781,            0.024548,                   0,            0.009472,            0.009472,            0.009472
                  17,            0.078251,            0.028869,                   0,             0.51631,             0.42103,             0.41433,             0.15103,            0.087779,            0.024792,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.081001,            0.026687,                   0,             0.39439,              0.2413,             0.23616,            0.066093,            0.084709,            0.027286,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.080847,             0.02233,                   0,             0.42374,             0.53785,             0.40667,             0.16048,             0.07677,            0.025956,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.077031,            0.027342,                   0,             0.27314,             0.34661,             0.16703,            0.038653,            0.090127,            0.025276,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.076762,            0.024541,                   0,             0.45694,             0.46614,             0.39849,              0.1306,            0.082669,            0.026284,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.075504,            0.026082,                   0,             0.30818,             0.34661,             0.21719,             0.06807,            0.077614,            0.026797,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.071881,            0.027345,                   0,             0.51117,             0.57076,             0.50041,             0.19013,            0.069933,            0.025605,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.067388,            0.028945,                   0,             0.53049,              0.5498,             0.49093,             0.17473,            0.071592,            0.029498,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.069536,            0.027895,                   0,             0.71424,             0.56175,              0.6459,             0.22825,            0.063148,            0.027679,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.065959,            0.026178,                   0,              0.2894,             0.39442,             0.20605,            0.064887,            0.076847,            0.026909,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.059565,            0.030373,                   0,               0.538,             0.51394,             0.53307,             0.24469,            0.062898,            0.031191,                   0,            0.009142,            0.009142,            0.009142
