               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11858,             0.04616,                   0,           0.0059848,             0.31474,            0.007342,           0.0016651,             0.12896,            0.032599,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.10101,             0.04119,                   0,             0.18171,             0.14343,            0.053858,            0.011541,                 nan,                 nan,                   0,            0.090096,           0.0010964,           0.0010964
                   2,            0.090892,            0.039777,                   0,             0.18947,             0.11554,            0.046352,            0.013426,                 nan,                 nan,                   0,            0.084689,           0.0016888,           0.0016888
                   3,            0.081941,            0.040088,                   0,          7.6289e-05,           0.0039841,          3.8617e-05,          3.8617e-06,                 nan,                 nan,                   0,            0.079277,           0.0022772,           0.0022772
                   4,             0.08683,            0.035381,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.073862,           0.0028617,           0.0028617
                   5,            0.084501,            0.035526,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.068442,           0.0034422,           0.0034422
                   6,            0.083226,            0.035371,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.063019,           0.0040188,           0.0040188
                   7,            0.082828,            0.033324,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.057591,           0.0045914,           0.0045914
                   8,            0.082295,            0.033753,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.05216,           0.0051601,           0.0051601
                   9,            0.081348,             0.03264,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.046725,           0.0057248,           0.0057248
                  10,            0.075233,            0.037051,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.041285,           0.0062855,           0.0062855
                  11,            0.074929,            0.035592,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.035842,           0.0068423,           0.0068423
                  12,            0.078023,            0.034771,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.030395,           0.0073951,           0.0073951
                  13,            0.074494,            0.035282,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.024944,           0.0079439,           0.0079439
                  14,            0.073278,            0.033413,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.019489,           0.0084888,           0.0084888
                  15,            0.073347,            0.030182,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.01403,           0.0090297,           0.0090297
                  16,            0.072637,            0.030344,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.009472,            0.009472,            0.009472
                  17,            0.071823,            0.034023,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.009472,            0.009472,            0.009472
