               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038578,            0.047182,            0.017017,             0.41609,             0.39249,             0.42702,              0.2948,            0.034198,             0.02742,             0.01467,              0.0973,              0.0003,              0.0003
                   1,             0.04113,            0.045987,             0.01646,             0.43921,              0.4162,             0.43642,             0.29852,            0.033535,            0.022263,            0.012869,            0.093698,          0.00069769,          0.00069769
                   2,            0.038338,            0.034089,            0.014391,             0.44739,             0.39416,             0.46866,             0.30336,            0.033374,            0.017222,            0.010336,            0.090093,           0.0010927,           0.0010927
                   3,            0.037028,            0.028596,             0.01223,             0.47306,             0.40917,             0.48815,             0.31407,            0.032737,            0.014693,           0.0086269,            0.086485,           0.0014851,           0.0014851
                   4,            0.036791,             0.02446,            0.012085,             0.54102,             0.44484,             0.51383,             0.34752,             0.03267,            0.012882,           0.0064723,            0.082875,           0.0018749,           0.0018749
                   5,             0.03735,            0.024731,           0.0094798,             0.66264,              0.4535,             0.54574,             0.36692,            0.034471,            0.011841,           0.0047202,            0.079262,           0.0022621,           0.0022621
                   6,            0.037892,            0.022011,           0.0073237,             0.66201,              0.5087,               0.569,             0.38573,            0.032622,            0.011137,           0.0042654,            0.075647,           0.0026465,           0.0026465
                   7,             0.03819,            0.019686,           0.0072303,             0.67675,             0.66025,                0.63,             0.43596,            0.034525,             0.01045,           0.0034896,            0.072028,           0.0030284,           0.0030284
                   8,            0.038111,            0.020627,           0.0062724,              0.6009,             0.70765,             0.64467,             0.41999,            0.033349,            0.010169,           0.0030593,            0.068408,           0.0034076,           0.0034076
                   9,            0.037198,            0.019717,           0.0044482,             0.67609,             0.66157,             0.68467,             0.47653,            0.033418,           0.0099058,           0.0028548,            0.064784,           0.0037842,           0.0037842
                  10,            0.038329,            0.016347,           0.0043257,              0.6415,             0.73349,              0.7192,             0.50532,            0.032314,           0.0094991,           0.0026839,            0.061158,           0.0041581,           0.0041581
                  11,            0.035862,            0.016849,           0.0053212,             0.61729,             0.64353,             0.64907,             0.42446,            0.035134,           0.0091658,           0.0026097,            0.057529,           0.0045294,           0.0045294
                  12,            0.035861,            0.017595,           0.0043065,             0.66602,             0.77164,             0.78108,             0.52004,            0.035962,           0.0090656,            0.002454,            0.053898,            0.004898,            0.004898
                  13,            0.037397,             0.01632,           0.0038591,             0.79699,             0.76754,             0.82163,             0.57433,             0.03515,           0.0088701,           0.0023861,            0.050264,            0.005264,            0.005264
                  14,            0.039214,            0.017181,           0.0042494,             0.72441,             0.85877,              0.8393,             0.55874,            0.033284,           0.0085793,           0.0022533,            0.046627,           0.0056274,           0.0056274
                  15,            0.037484,            0.016351,           0.0038794,             0.87386,              0.7027,             0.84495,             0.53387,            0.032466,           0.0082569,           0.0022054,            0.042988,           0.0059881,           0.0059881
                  16,            0.040213,            0.017076,           0.0046513,             0.87344,             0.74132,             0.86727,             0.54091,            0.033515,            0.008275,           0.0021622,            0.039346,           0.0063462,           0.0063462
                  17,            0.038766,            0.017929,            0.005673,             0.82002,             0.72223,             0.83146,             0.54174,            0.032983,           0.0082855,           0.0021359,            0.035702,           0.0067017,           0.0067017
                  18,            0.038624,            0.015726,           0.0044346,             0.79295,              0.8786,             0.89888,             0.58339,            0.033854,           0.0082417,           0.0022985,            0.032054,           0.0070545,           0.0070545
                  19,            0.037751,             0.01517,           0.0051087,             0.82457,             0.83326,              0.8822,             0.51399,            0.031803,           0.0080914,           0.0023518,            0.028405,           0.0074047,           0.0074047
                  20,            0.039481,            0.018038,           0.0044832,             0.89291,             0.83002,              0.8925,             0.57238,             0.03449,           0.0081625,           0.0020908,            0.024752,           0.0077522,           0.0077522
                  21,            0.041246,            0.015742,           0.0043642,              0.8253,             0.78413,             0.86886,             0.57358,            0.033061,           0.0081167,           0.0020669,            0.021097,           0.0080971,           0.0080971
                  22,             0.04337,            0.014324,           0.0037829,             0.90547,             0.83892,             0.90612,             0.56061,            0.033908,           0.0082955,           0.0021404,            0.017439,           0.0084393,           0.0084393
                  23,            0.041692,            0.017929,             0.00415,             0.89878,              0.8323,             0.91257,             0.60482,            0.033999,           0.0081964,            0.002342,            0.013779,            0.008779,            0.008779
                  24,            0.040114,            0.016303,            0.004427,             0.86883,             0.81046,             0.87966,              0.5779,            0.036014,           0.0081115,           0.0019808,            0.010116,           0.0091159,           0.0091159
                  25,            0.040353,            0.016983,           0.0040756,             0.71205,              0.8257,             0.83508,             0.55444,            0.033975,           0.0076618,           0.0018032,            0.009175,            0.009175,            0.009175
                  26,            0.038311,            0.013861,           0.0043961,             0.83256,             0.72474,              0.8169,               0.484,            0.033555,           0.0077491,            0.001817,            0.009175,            0.009175,            0.009175
                  27,            0.041547,             0.01557,           0.0037138,             0.72847,             0.84618,             0.85878,             0.53882,            0.033676,           0.0076671,           0.0019037,            0.009142,            0.009142,            0.009142
                  28,            0.038808,            0.013677,           0.0041242,             0.79189,             0.79061,             0.83467,              0.5615,            0.034958,           0.0078092,           0.0017698,            0.009109,            0.009109,            0.009109
                  29,            0.040887,            0.015598,           0.0039636,             0.84044,             0.85947,             0.89241,             0.61264,            0.032865,           0.0075517,            0.001875,            0.009076,            0.009076,            0.009076
                  30,            0.038975,            0.012792,           0.0035829,             0.75674,             0.75059,             0.84138,              0.5669,            0.032322,           0.0075765,           0.0019861,            0.009043,            0.009043,            0.009043
                  31,            0.039007,             0.01632,           0.0039802,             0.86495,             0.79626,             0.89607,             0.59479,             0.03591,           0.0081391,           0.0023263,             0.00901,             0.00901,             0.00901
                  32,            0.038908,            0.013086,           0.0036011,             0.82972,             0.78759,             0.86884,             0.54791,             0.03376,           0.0080147,           0.0024469,            0.008977,            0.008977,            0.008977
                  33,             0.03884,             0.01505,           0.0042211,             0.89233,              0.8048,             0.89917,             0.58337,            0.033366,           0.0077724,           0.0022846,            0.008944,            0.008944,            0.008944
                  34,            0.036585,            0.015388,           0.0040855,             0.88986,             0.82332,             0.90855,             0.60852,            0.032515,           0.0077467,           0.0020716,            0.008911,            0.008911,            0.008911
                  35,            0.037867,            0.013251,           0.0033538,             0.80001,             0.89665,             0.86983,             0.53932,            0.033541,           0.0077157,           0.0020913,            0.008878,            0.008878,            0.008878
                  36,             0.03666,            0.014541,           0.0034645,              0.7978,             0.88297,             0.87787,             0.56389,            0.033269,           0.0074191,           0.0018088,            0.008845,            0.008845,            0.008845
