               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051279,            0.040277,            0.012096,             0.77422,             0.61233,             0.70646,             0.44149,            0.038659,            0.027234,           0.0053994,            0.070013,           0.0033318,           0.0033318
                   1,            0.041864,            0.038069,           0.0061199,              0.7522,             0.61239,             0.68438,              0.4519,            0.036868,            0.027956,           0.0052488,            0.039881,           0.0065332,           0.0065332
                   2,            0.042977,            0.041245,           0.0070874,             0.70264,             0.56486,             0.62339,             0.38845,            0.039582,            0.030123,           0.0057658,           0.0096174,           0.0096026,           0.0096026
                   3,             0.04327,            0.043155,           0.0073497,             0.74592,             0.58955,             0.66354,             0.42395,            0.037907,            0.029084,           0.0049189,            0.009406,            0.009406,            0.009406
                   4,            0.041905,            0.042164,           0.0067401,             0.73024,             0.60102,             0.67261,              0.4437,            0.036898,            0.028483,           0.0046974,            0.009406,            0.009406,            0.009406
                   5,            0.040968,            0.041249,           0.0063715,              0.7481,             0.60819,             0.69218,             0.46154,            0.036257,            0.028033,           0.0043284,            0.009208,            0.009208,            0.009208
                   6,            0.040425,            0.040993,           0.0061272,             0.74995,             0.63673,             0.70667,             0.47248,            0.035679,            0.027674,           0.0042717,             0.00901,             0.00901,             0.00901
                   7,            0.040082,            0.040653,           0.0059759,             0.78887,             0.62153,             0.71572,             0.48127,            0.035308,             0.02747,             0.00408,            0.008812,            0.008812,            0.008812
                   8,            0.039783,            0.040461,           0.0058433,             0.76387,             0.64834,              0.7241,             0.49326,            0.034898,            0.027238,           0.0039316,            0.008614,            0.008614,            0.008614
                   9,            0.039452,            0.040105,           0.0057543,             0.78569,              0.6483,             0.73082,             0.50259,            0.034691,            0.027049,           0.0039059,            0.008416,            0.008416,            0.008416
                  10,             0.03931,            0.040045,            0.005645,             0.76619,             0.65599,             0.73083,             0.50382,            0.034492,            0.027056,           0.0038756,            0.008218,            0.008218,            0.008218
                  11,            0.039183,            0.039873,           0.0056111,             0.77023,             0.66074,             0.73625,             0.50481,            0.034351,            0.026954,           0.0038479,             0.00802,             0.00802,             0.00802
                  12,            0.038966,            0.039681,           0.0055021,              0.7724,             0.66804,             0.73985,             0.50676,            0.034254,            0.026875,           0.0038038,            0.007822,            0.007822,            0.007822
                  13,            0.038799,            0.039602,           0.0054382,             0.78082,             0.66445,             0.74173,             0.50927,            0.034165,             0.02684,           0.0037773,            0.007624,            0.007624,            0.007624
                  14,             0.03864,            0.039587,           0.0053862,             0.77254,             0.67441,              0.7434,             0.50951,            0.034092,            0.026816,           0.0037363,            0.007426,            0.007426,            0.007426
                  15,            0.038483,            0.039357,           0.0053147,             0.76767,             0.67788,             0.74375,             0.51166,            0.034031,            0.026798,            0.003704,            0.007228,            0.007228,            0.007228
                  16,            0.038342,            0.039351,           0.0052473,              0.7663,              0.6803,             0.74303,             0.51301,            0.033962,            0.026763,           0.0036884,             0.00703,             0.00703,             0.00703
                  17,            0.038226,            0.038988,           0.0052677,              0.7749,             0.67515,             0.74442,             0.51339,            0.033908,             0.02674,           0.0036733,            0.006832,            0.006832,            0.006832
                  18,            0.038024,            0.038924,           0.0051253,             0.76975,             0.67493,             0.74493,             0.51413,            0.033866,            0.026726,           0.0036559,            0.006634,            0.006634,            0.006634
                  19,            0.038007,            0.038926,           0.0051499,             0.76557,             0.67876,              0.7456,             0.51659,            0.033825,            0.026695,           0.0036463,            0.006436,            0.006436,            0.006436
                  20,            0.037833,            0.038792,           0.0050237,              0.7719,             0.67729,              0.7466,             0.51835,            0.033789,            0.026665,           0.0036295,            0.006238,            0.006238,            0.006238
                  21,            0.037703,            0.038628,           0.0049717,             0.76897,             0.68088,             0.74843,             0.51832,            0.033751,             0.02664,           0.0036152,             0.00604,             0.00604,             0.00604
                  22,            0.037569,            0.038418,           0.0049269,             0.76976,             0.68372,             0.74933,             0.51948,            0.033713,            0.026611,           0.0036056,            0.005842,            0.005842,            0.005842
                  23,             0.03747,            0.038391,           0.0049087,             0.77266,             0.68242,             0.74991,             0.51972,            0.033672,            0.026581,           0.0035985,            0.005644,            0.005644,            0.005644
                  24,            0.037235,            0.038168,           0.0048436,               0.775,             0.68092,             0.75073,             0.52069,            0.033638,            0.026553,           0.0035899,            0.005446,            0.005446,            0.005446
                  25,            0.037158,            0.038131,           0.0047772,             0.77346,             0.68305,              0.7507,             0.52214,            0.033597,            0.026526,           0.0035804,            0.005248,            0.005248,            0.005248
                  26,            0.037096,            0.038105,           0.0047492,             0.77897,             0.68301,             0.75198,             0.52313,            0.033548,            0.026493,           0.0035727,             0.00505,             0.00505,             0.00505
                  27,            0.036922,            0.037925,           0.0046678,             0.77584,             0.68884,              0.7534,             0.52437,            0.033512,            0.026465,           0.0035665,            0.004852,            0.004852,            0.004852
                  28,             0.03674,            0.037599,           0.0046456,             0.78006,             0.68688,              0.7538,             0.52408,            0.033478,            0.026442,           0.0035627,            0.004654,            0.004654,            0.004654
                  29,            0.036577,            0.037685,           0.0045444,              0.7751,             0.68842,              0.7555,             0.52528,            0.033452,            0.026423,           0.0035545,            0.004456,            0.004456,            0.004456
                  30,            0.036452,            0.037432,           0.0044649,             0.77422,             0.69035,             0.75629,             0.52603,            0.033418,            0.026407,           0.0035484,            0.004258,            0.004258,            0.004258
                  31,             0.03626,            0.037325,           0.0044453,             0.77778,             0.68989,             0.75708,             0.52699,            0.033389,            0.026386,           0.0035424,             0.00406,             0.00406,             0.00406
                  32,            0.036182,            0.037218,           0.0043952,              0.7804,             0.68931,             0.75755,             0.52759,            0.033359,            0.026364,           0.0035336,            0.003862,            0.003862,            0.003862
                  33,            0.036016,            0.036951,           0.0042916,             0.78107,             0.68911,             0.75827,             0.52882,            0.033329,            0.026344,           0.0035233,            0.003664,            0.003664,            0.003664
                  34,            0.035919,            0.036808,           0.0042961,             0.78642,             0.68711,             0.75893,             0.52928,            0.033305,             0.02632,           0.0035226,            0.003466,            0.003466,            0.003466
                  35,            0.035654,            0.036675,           0.0041734,             0.78428,             0.68625,             0.75942,             0.52886,            0.033279,            0.026294,           0.0035211,            0.003268,            0.003268,            0.003268
                  36,            0.035475,            0.036452,           0.0040951,             0.78909,             0.68506,             0.75955,             0.52898,            0.033254,            0.026273,           0.0035188,             0.00307,             0.00307,             0.00307
                  37,            0.035263,            0.036317,           0.0040347,              0.7831,             0.68687,             0.75947,              0.5293,            0.033224,            0.026254,           0.0035155,            0.002872,            0.002872,            0.002872
                  38,            0.035096,            0.036013,           0.0039599,             0.78876,             0.68421,             0.75988,             0.52951,            0.033194,            0.026231,            0.003512,            0.002674,            0.002674,            0.002674
                  39,             0.03494,            0.036105,           0.0038684,             0.78853,             0.68568,             0.75956,             0.53016,             0.03317,            0.026215,           0.0035104,            0.002476,            0.002476,            0.002476
                  40,            0.034746,            0.035695,           0.0037663,             0.78319,             0.69117,             0.75984,             0.53053,            0.033138,            0.026197,            0.003511,            0.002278,            0.002278,            0.002278
                  41,            0.034488,            0.035626,           0.0037373,             0.78411,             0.68844,             0.75995,             0.53038,            0.033108,            0.026179,            0.003516,             0.00208,             0.00208,             0.00208
                  42,            0.034242,            0.035153,           0.0036928,             0.78542,             0.68707,             0.76027,             0.53028,            0.033083,            0.026171,           0.0035121,            0.001882,            0.001882,            0.001882
                  43,             0.03404,            0.034927,           0.0035953,             0.78225,             0.69502,             0.76111,             0.53136,            0.033062,            0.026164,            0.003511,            0.001684,            0.001684,            0.001684
                  44,             0.03373,            0.034764,           0.0035135,             0.78413,              0.6894,             0.76117,             0.53288,            0.033038,            0.026163,           0.0035093,            0.001486,            0.001486,            0.001486
                  45,            0.033608,            0.034457,           0.0033975,             0.78127,             0.69149,             0.76161,             0.53302,            0.033013,            0.026172,           0.0035076,            0.001288,            0.001288,            0.001288
                  46,            0.033282,            0.034066,           0.0033099,             0.77748,              0.6915,             0.76117,             0.53412,            0.032993,            0.026184,           0.0035093,             0.00109,             0.00109,             0.00109
                  47,            0.033041,            0.033809,           0.0032657,             0.77715,              0.6935,             0.76049,             0.53443,            0.032974,              0.0262,           0.0035168,            0.000892,            0.000892,            0.000892
                  48,            0.032784,            0.033513,           0.0031718,             0.77269,             0.69662,             0.75987,             0.53274,            0.032962,            0.026217,           0.0035261,            0.000694,            0.000694,            0.000694
