               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044065,            0.049321,            0.019109,             0.31879,             0.34028,             0.38213,             0.23264,            0.041909,            0.024719,            0.016369,              0.0991,              0.0001,              0.0001
                   1,            0.045104,            0.044083,            0.016085,             0.34492,             0.36743,             0.39251,             0.23391,            0.041503,            0.023193,            0.015675,            0.097299,          0.00029901,          0.00029901
                   2,            0.044043,               0.043,            0.017561,             0.34692,             0.40988,              0.3975,              0.2326,             0.04131,            0.021866,            0.015053,            0.095497,           0.0004967,           0.0004967
                   3,            0.043578,            0.037186,            0.015084,             0.48304,             0.30504,             0.40899,             0.24298,            0.041096,            0.019337,            0.013811,            0.093693,          0.00069307,          0.00069307
                   4,            0.042607,            0.036297,            0.016501,             0.46743,             0.34316,             0.42199,             0.25752,            0.040406,            0.018032,            0.013134,            0.091888,          0.00088812,          0.00088812
                   5,            0.044011,            0.030489,            0.017742,             0.43549,             0.35322,             0.40231,             0.24736,            0.041471,            0.015759,            0.011564,            0.090082,           0.0010819,           0.0010819
                   6,             0.04586,            0.028168,            0.017199,             0.40273,             0.42041,             0.43587,             0.26323,            0.040574,            0.014156,           0.0098782,            0.088274,           0.0012743,           0.0012743
                   7,            0.045342,            0.027389,             0.01245,             0.43299,             0.38937,             0.43165,              0.2586,            0.040091,            0.013004,           0.0084105,            0.086465,           0.0014653,           0.0014653
                   8,            0.040773,            0.024983,           0.0098933,             0.47458,             0.40896,             0.47735,             0.27672,            0.040143,            0.012247,               0.007,            0.084655,           0.0016551,           0.0016551
                   9,            0.043096,            0.026529,           0.0093241,             0.43377,             0.50183,             0.50077,              0.2925,            0.039756,            0.011782,           0.0059032,            0.082844,           0.0018436,           0.0018436
                  10,            0.041774,            0.022651,           0.0078674,             0.49826,             0.54932,             0.52998,             0.32806,            0.040203,            0.011456,           0.0051107,            0.081031,           0.0020307,           0.0020307
                  11,            0.043545,            0.021768,            0.008205,             0.58203,             0.50009,             0.56878,             0.34327,            0.040166,            0.011158,           0.0045786,            0.079217,           0.0022165,           0.0022165
                  12,            0.043016,            0.022753,           0.0059706,              0.5906,             0.51419,             0.59492,              0.3379,            0.040088,            0.010891,             0.00425,            0.077401,            0.002401,            0.002401
                  13,            0.042089,            0.019939,           0.0065837,             0.59321,             0.51277,             0.59326,             0.34379,            0.040875,            0.010815,           0.0041409,            0.075584,           0.0025842,           0.0025842
                  14,             0.04384,            0.021931,           0.0056213,             0.72439,             0.55235,             0.59402,             0.37158,            0.040274,            0.010504,           0.0038986,            0.073766,            0.002766,            0.002766
                  15,            0.044204,            0.020808,           0.0057624,             0.76089,             0.56454,             0.63505,             0.37489,            0.040615,            0.010256,           0.0037117,            0.071947,           0.0029465,           0.0029465
                  16,            0.043644,             0.02057,           0.0047448,             0.70302,             0.63442,             0.66938,             0.38766,            0.041221,           0.0099945,           0.0036621,            0.070126,           0.0031258,           0.0031258
                  17,            0.045152,            0.023053,           0.0066526,             0.74848,             0.62138,             0.67836,             0.42349,            0.042477,           0.0098171,            0.003356,            0.068304,           0.0033037,           0.0033037
                  18,            0.044881,            0.019357,           0.0057348,             0.70899,             0.60479,              0.6567,             0.38767,            0.042352,           0.0095348,           0.0032163,             0.06648,           0.0034802,           0.0034802
                  19,            0.043027,            0.019947,           0.0055245,             0.77395,             0.60877,             0.67998,             0.35607,            0.042402,           0.0094013,           0.0030408,            0.064655,           0.0036555,           0.0036555
