               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091847,            0.043856,            0.052538,            0.042866,            0.060539,            0.017226,            0.004648,            0.081349,            0.029932,            0.048286,             0.07005,           0.0033278,           0.0033278
                   1,            0.074404,            0.043446,            0.044131,             0.20854,             0.19268,             0.12475,            0.048772,            0.069962,            0.027629,            0.040261,            0.039984,           0.0065952,           0.0065952
                   2,            0.067647,            0.041334,            0.036935,             0.25935,             0.23897,              0.1663,            0.071382,            0.066292,             0.02716,              0.0349,           0.0098522,           0.0097965,           0.0097965
                   3,            0.062708,             0.04021,            0.031979,             0.37131,             0.32018,             0.27149,             0.12943,            0.061798,            0.026324,            0.029939,            0.009703,            0.009703,            0.009703
                   4,            0.059362,            0.039686,             0.02891,             0.42424,             0.35038,             0.34079,             0.17518,            0.057515,            0.025866,            0.026381,            0.009703,            0.009703,            0.009703
                   5,            0.057255,             0.03922,            0.027157,             0.44113,             0.35521,             0.34725,             0.17905,            0.057143,            0.025794,            0.025093,            0.009604,            0.009604,            0.009604
                   6,            0.055832,            0.038918,            0.025855,             0.45555,             0.40543,             0.39921,             0.21475,             0.05483,            0.025371,            0.023285,            0.009505,            0.009505,            0.009505
                   7,            0.054621,            0.038532,            0.024588,             0.46747,              0.3977,             0.39312,             0.21479,            0.054488,            0.025276,            0.022641,            0.009406,            0.009406,            0.009406
                   8,            0.053593,            0.037873,             0.02393,             0.47598,             0.42394,             0.41571,             0.23394,            0.052444,            0.024826,            0.021872,            0.009307,            0.009307,            0.009307
                   9,            0.052791,            0.037862,            0.023057,             0.48289,             0.44323,             0.43757,             0.24474,            0.051635,            0.024847,            0.020974,            0.009208,            0.009208,            0.009208
                  10,            0.052074,             0.03761,            0.022615,             0.52492,             0.42999,             0.44903,             0.25802,            0.051074,            0.024693,             0.02066,            0.009109,            0.009109,            0.009109
                  11,            0.051725,            0.037348,            0.022043,             0.50627,             0.43648,             0.44959,             0.25776,            0.051148,            0.024576,            0.020275,             0.00901,             0.00901,             0.00901
                  12,            0.051108,            0.036948,            0.021809,             0.51231,             0.44777,             0.45145,             0.26129,            0.049921,             0.02487,            0.021803,            0.008911,            0.008911,            0.008911
                  13,             0.05065,            0.037012,            0.021222,             0.52337,             0.44682,             0.45839,             0.26819,            0.049289,            0.024908,            0.020595,            0.008812,            0.008812,            0.008812
                  14,            0.050213,            0.036848,            0.020751,             0.53256,             0.44986,             0.46986,             0.27205,            0.048636,            0.024608,            0.019395,            0.008713,            0.008713,            0.008713
                  15,            0.049784,            0.036555,            0.020392,             0.54611,             0.46763,             0.48664,             0.28743,            0.048137,            0.024314,            0.018648,            0.008614,            0.008614,            0.008614
                  16,            0.049388,             0.03653,            0.020075,             0.53328,             0.47242,             0.48603,             0.28861,            0.047782,            0.024253,            0.018973,            0.008515,            0.008515,            0.008515
                  17,            0.049253,            0.036331,            0.019948,             0.53473,             0.47721,             0.48687,             0.28597,            0.047858,             0.02439,            0.018617,            0.008416,            0.008416,            0.008416
                  18,            0.048773,            0.036164,            0.019479,             0.58092,             0.46906,             0.49891,             0.30067,            0.047457,              0.0241,            0.018311,            0.008317,            0.008317,            0.008317
                  19,            0.048406,            0.036247,             0.01925,             0.58274,             0.48265,             0.50811,             0.30705,            0.047068,            0.024093,            0.017661,            0.008218,            0.008218,            0.008218
                  20,            0.048399,            0.036301,            0.019248,             0.56314,             0.49234,             0.50848,             0.30946,            0.046889,            0.023869,            0.017003,            0.008119,            0.008119,            0.008119
                  21,             0.04797,            0.036132,            0.018828,             0.58014,             0.49639,             0.51846,             0.31438,            0.046822,            0.023717,            0.017126,             0.00802,             0.00802,             0.00802
                  22,            0.047851,            0.036124,            0.018679,             0.57483,             0.49836,              0.5209,             0.31705,            0.046518,            0.023709,            0.017429,            0.007921,            0.007921,            0.007921
                  23,            0.047501,            0.035603,            0.018542,             0.58859,             0.49819,             0.52208,              0.3154,            0.046114,            0.023639,            0.017354,            0.007822,            0.007822,            0.007822
                  24,            0.047459,            0.035748,             0.01832,             0.56972,             0.51327,             0.52515,             0.32025,            0.046001,             0.02373,            0.016836,            0.007723,            0.007723,            0.007723
                  25,            0.047335,            0.035543,            0.018245,             0.59183,             0.50801,             0.53104,              0.3251,            0.045461,            0.023595,            0.016831,            0.007624,            0.007624,            0.007624
                  26,             0.04709,            0.035515,            0.017934,             0.58068,             0.50752,             0.52447,             0.32467,            0.045237,            0.023539,            0.016755,            0.007525,            0.007525,            0.007525
                  27,            0.046761,            0.035622,            0.017866,             0.60397,             0.50408,             0.53574,             0.33106,            0.044925,            0.023529,            0.015973,            0.007426,            0.007426,            0.007426
                  28,            0.046731,            0.035698,             0.01743,             0.60296,             0.50529,             0.53579,             0.33083,            0.044802,            0.023541,            0.015046,            0.007327,            0.007327,            0.007327
